Common.name,Genus.species,Cat.in.BNA,Cat.in.CS
Gray Partridge,Perdix perdix,1,0
Ring-necked Pheasant,Phasianus colchicus,1,0
California Quail,Callipepla californica,1,1
Gambel’s Quail,Callipepla gambelii,–,1
Rock Pigeon,Columba livia,1,1
Eurasian Collared-Dove,Streptopelia decaocto,1,0
White-winged Dove,Zenaida asiatica,1,0
Mourning Dove,Zenaida macroura,1,1
Inca Dove,Columbina inca,1,1
Common Ground-Dove,Columbina passerina,1,0
Common Nighthawk,Chordeiles minor,1,0
Ruby-throated Hummingbird,Archilochus colubris,1,1
Anna’s Hummingbird,Calypte anna,1,0
Rufous Hummingbird,Selasphorus rufus,1,1
Downy Woodpecker,Picoides pubescens,1,0
Northern Flicker,Colaptes auratus,0,1
Willow Flycatcher,Empidonax traillii,1,0
Eastern Phoebe,,,1
Say’s Phoebe,Sayornis saya,1,0
Great Kiskadee,Pitangus sulphuratus,1,1
Loggerhead Shrike,Lanius ludovicianus,1,0
Bell’s Vireo,Vireo bellii,1,0
Steller’s Jay,Cyanocitta stelleri,1,1
Blue Jay,Cyanocitta cristata,1,1
Western Scrub-Jay,Aphelocoma californica,1,0
American Crow,Corvus brachyrhynchos,1,0
Northwestern Crow,Corvus caurinus,1,0
Purple Martin,Progne subis,1,0
Tree Swallow,Tachycineta bicolor,1,0
Cliff Swallow,Petrochelidon pyrrhonota,1,0
Barn Swallow,Hirundo rustica,1,0
Carolina Chickadee,Poecile carolinensis,1,1
Black-capped Chickadee,Poecile atricapilla,1,1
Chestnut-backed Chickadee,Poecile rufescens,–,1
Oak Titmouse,Baeolophus inornatus,1,0
Tufted Titmouse,Baeolophus bicolor,1,1
White-breasted Nuthatch,Sitta carolinensis,–,1
Pygmy Nuthatch,Sitta pygmaea,–,1
Brown Creeper,Certhia americana,1,0
Cactus Wren,Campylorhynchus brunneicapill,1,0
Carolina Wren,Thryothorus ludovicianus,1,1
Bewick’s Wren,Thryomanes bewickii,1,1
House Wren,Troglodytes aedon,1,1
Winter Wren,Troglodytes troglodytes,1,0
Golden-crowned Kinglet,Regulus satrapa,–,1
Eastern Bluebird,Sialia sialis,1,1
Western Bluebird,Sialia mexicana,1,0
Hermit Thrush,Catharus guttatus,–,1
Wood Thrush,Hylocichla mustelina,1,0
American Robin,Turdus migratorius,1,1
Varied Thrush,Ixoreus naevius,1,1
Gray Catbird,Dumetella carolinensis,1,1
Northern Mockingbird,Mimus polyglottos,1,1
Brown Thrasher,Toxostoma rufum,1,0
California Thrasher,Toxostoma redivivum,1,0
European Starling,Sturnus vulgaris,1,1
Bohemian Waxwing,Bombycilla garrulus,1,0
Cedar Waxwing,Bombycilla cedrorum,–,1
Nashville Warbler,Vermivora ruficapilla,1,0
Yellow-rumped Warbler,Dendroica coronata,–,1
American Redstart,Setophaga ruticilla,1,0
Common Yellowthroat,Geothlypis trichas,–,1
Wilson’s Warbler,Wilsonia pusilla,1,0
Scarlet Tanager,Piranga olivacea,–,1
Western Tanager,Piranga ludoviciana,1,0
Spotted Towhee,Pipilo maculatus,–,1
Eastern Towhee,Pipilo erythrophthalmus,–,1
Canyon Towhee,Pipilo fuscus,1,0
California Towhee,Pipilo crissalis,–,1
Rufous-crowned Sparrow,Aimophila ruficeps,1,0
American Tree Sparrow,Spizella arborea,1,1
Chipping Sparrow,Spizella passerina,1,1
Field Sparrow,Spizella pusilla,–,1
Vesper Sparrow,Pooecetes gramineus,–,1
Savannah Sparrow,Passerculus sandwichensis,1,0
Fox Sparrow,Passerella iliaca,–,1
Song Sparrow,Melospiza melodia,1,1
Lincoln’s Sparrow,Melospiza lincolnii,1,0
White-throated Sparrow,Zonotrichia albicollis,–,1
Dark-eyed Junco,Junco hyemalis,1,1
Northern Cardinal,Cardinalis cardinalis,1,1
Rose-breasted Grosbeak,Pheucticus ludovicianus,1,1
Black-headed Grosbeak,Pheucticus melanocephalus,1,1
Lazuli Bunting,Passerina amoena,1,0
Dickcissel,Spiza americana,1,0
Bobolink,Dolichonyx oryzivorus,1,0
Red-winged Blackbird,Agelaius phoeniceus,–,1
Eastern Meadowlark,Sturnella magna,1,0
Western Meadowlark,Sturnella neglecta,1,0
Brewer’s Blackbird,Euphagus cyanocephalus,1,0
Common Grackle,Quiscalus quiscula,1,1
Great-tailed Grackle,Quiscalus mexicanus,1,0
Baltimore Oriole,Icterus galbula,1,1
Purple Finch,Carpodacus purpureus,1,0
House Finch,Carpodacus mexicanus,1,1
Common Redpoll,Carduelis flammea,1,0
Pine Siskin,Carduelis pinus,1,1
Lesser Goldfinch,Carduelis psaltria,–,1
American Goldfinch,Carduelis tristis,1,1
Evening Grosbeak,Coccothraustes vespertinus,1,0
House Sparrow,Passer domesticus,1,1
Eurasian Tree Sparrow,Passer montanus,1,0
Pyrrhuloxia,Cardinalis sinuatus,1,0
