"species_code","ebirdst_association_forest","ebirdst_association_grassland"
"acafly",0.416986428062597,0.0919052324113029
"amecro",0.128250948052969,0.147234372257411
"amegfi",0.120850256404915,0.168339778853184
"amered",0.227108787661368,0.122846274764905
"amerob",0.117677890347459,0.145016234829709
"balori",0.0865562865518878,0.132560884251636
"barswa",0.0735951305721456,0.214169576455872
"bawwar",0.260590926899908,0.120727184408132
"bkpwar",0.104443527019618,0.104437679535591
"blugrb1",0.0613290319287356,0.231235493628838
"blujay",0.137478732576522,0.144285084636364
"bnhcow",0.0848571215695181,0.207755066733378
"bnhnut",0.135002957082975,0.12153821285406
"brnthr",0.112891087714458,0.135847267689961
"buggna",0.117788815581208,0.178212449428024
"buhvir",0.308724515591395,0.115076129153681
"carchi",0.0890181060354387,0.233806158927839
"carwre",0.0903980845568188,0.191892974735098
"cedwax",0.123480000713991,0.149421527272897
"chispa",0.116513470394303,0.156604281037736
"chiswi",0.116331542360139,0.142329025695496
"chwwid",0.171626647975846,0.12267897066128
"cliswa",0.056328860539074,0.159590033737385
"comgra",0.115570064379659,0.15439065136295
"comnig",0.0858591883737869,0.168075426575131
"comyel",0.112590352594468,0.125340736265273
"dickci",0.0495816189596876,0.301001050130826
"dowwoo",0.103232013060844,0.165359911798234
"easblu",0.122930584707877,0.131921297196562
"easkin",0.100694695998708,0.151910489560437
"easmea",0.0900099718000044,0.216360109530507
"easpho",0.140775124036128,0.13499841578731
"eastow",0.179763108598074,0.104999863548021
"easwpw1",0.346310399936348,0.0949781903147842
"eawpew",0.200340071564859,0.118407464618047
"eursta",0.102319072965832,0.223913858264976
"fiespa",0.113601795419317,0.115441454687358
"fiscro",0.12590258354988,0.10391124086444
"graspa",0.0596372317681011,0.260597896312696
"grcfly",0.123415285820026,0.132919486854425
"grycat",0.111103597454134,0.150590413030802
"haiwoo",0.139172257990946,0.141303583962819
"hoowar",0.411348535470787,0.084123593240897
"horlar",0.0178559629529138,0.268351052539348
"houfin",0.0735167996029342,0.185030868945583
"houspa",0.0524587395160419,0.220724025832743
"indbun",0.139846751046356,0.12842055793731
"kenwar",0.432049761815826,0.10443192513403
"logshr",0.0164324272407232,0.303627298173162
"louwat",0.343778212234876,0.111913321222975
"moudov",0.0858195230721176,0.213760350773455
"norbob",0.0873874578736932,0.192069669955489
"norcar",0.0597753781468608,0.182767740675087
"norfli",0.121992100810305,0.149547171463273
"normoc",0.0908038850920926,0.210454040068023
"norpar",0.308112996629247,0.110149179911423
"nrwswa",0.058085272634769,0.144634973676862
"orcori",0.0719471988988775,0.14502326009469
"ovenbi1",0.340299251625188,0.125102790920267
"pilwoo",0.248355730306489,0.138430916302813
"pinwar",0.256270781752952,0.110005992759856
"prawar",0.263232944971939,0.094952756754198
"prowar",0.207722222246944,0.0508211630821653
"purmar",0.0780366656422575,0.149305881015157
"rebwoo",0.113560229154456,0.168331757645384
"reevir1",0.222057526578417,0.125362667737616
"rehwoo",0.0924209579827009,0.137674177691223
"rethaw",0.0923839603106528,0.20313413439969
"rewbla",0.0856574621529845,0.169371978987737
"rthhum",0.154507227814521,0.13162920139192
"scatan",0.4000376897129,0.0961319340950926
"sonspa",0.135143771385675,0.147854817406542
"sumtan",0.170014481637435,0.159836192113974
"swathr",0.181707367002413,0.158062470966369
"treswa",0.099170930960192,0.134092303244786
"tuftit",0.143670749100262,0.209538900402848
"warvir",0.108253053844762,0.157658647740411
"whbnut",0.103407158267787,0.174104988242893
"whevir",0.220981560845406,0.147013687278719
"wilfly",0.0733753265559273,0.170306311408393
"wiltur",0.110946770213481,0.172792474780971
"woewar1",0.466806756715039,0.0585662445809598
"woothr",0.320113768107745,0.102034281359726
"y01309",0.0505495625696966,0.190560393408533
"yebcha",0.087050944572257,0.202207483429369
"yebcuc",0.147892642085168,0.148938899793206
"yelwar",0.0930847221785733,0.148540389257121
"yetvir",0.287117037848792,0.115010635663948
"yetwar",0.272033587015312,0.0950825688890727
