"genus","species","english_common_name","aou","binomial","shannonE_diet"
"Agelaius","phoeniceus","Red-winged Blackbird",4980,"Agelaius phoeniceus",0.301029995663981
"Baeolophus","bicolor","Tufted Titmouse",7310,"Baeolophus bicolor",0.292285253238629
"Caprimulgus","vociferus","Eastern Whip-poor-will",4170,"Antrostomus vociferus",0
"Cardinalis","cardinalis","Northern Cardinal",5930,"Cardinalis cardinalis",0.348225372857224
"Chaetura","pelagica","Chimney Swift",4230,"Chaetura pelagica",0
"Coccyzus","americanus","Yellow-billed Cuckoo",3870,"Coccyzus americanus",0.472903250637018
"Contopus","virens","Eastern Wood-Pewee",4610,"Contopus virens",0.141181741504608
"Corvus","brachyrhynchos","American Crow",4880,"Corvus brachyrhynchos",0.819382002601611
"Corvus","ossifragus","Fish Crow",4900,"Corvus ossifragus",0.676245626185712
"Cyanocitta","cristata","Blue Jay",4770,"Cyanocitta cristata",0.638764005203223
"Dryocopus","pileatus","Pileated Woodpecker",4050,"Dryocopus pileatus",0.348225372857224
"Dumetella","carolinensis","Gray Catbird",7040,"Dumetella carolinensis",0.292285253238629
"Empidonax","virescens","Acadian Flycatcher",4650,"Empidonax virescens",0.217322011273649
"Geothlypis","trichas","Common Yellowthroat",6810,"Geothlypis trichas",0
"Haemorhous","mexicanus","House Finch",5190,"Haemorhous mexicanus",0.570590870752304
"Hirundo","rustica","Barn Swallow",6130,"Hirundo rustica",0.277528010406445
"Hylocichla","mustelina","Wood Thrush",7550,"Hylocichla mustelina",0.292285253238629
"Icteria","virens","Yellow-breasted Chat",6830,"Icteria virens",0.217322011273649
"Icterus","spurius","Orchard Oriole",5060,"Icterus spurius",0.55583362792012
"Melanerpes","carolinus","Red-bellied Woodpecker",4090,"Melanerpes carolinus",0.736451625318509
"Mimus","polyglottos","Northern Mockingbird",7030,"Mimus polyglottos",0.301029995663981
"Molothrus","ater","Brown-headed Cowbird",4950,"Molothrus ater",0.292285253238629
"Myiarchus","crinitus","Great Crested Flycatcher",4520,"Myiarchus crinitus",0.292285253238629
"Passer","domesticus","House Sparrow",6882,"Passer domesticus",0.389972873353915
"Passerina","caerulea","Blue Grosbeak",5970,"Passerina caerulea",0.55583362792012
"Passerina","cyanea","Indigo Bunting",5980,"Passerina cyanea",0
"Picoides","pubescens","Downy Woodpecker",3940,"Picoides pubescens",0.277528010406445
"Pipilo","erythrophthalmus","Eastern Towhee",5870,"Pipilo erythrophthalmus",0.472903250637018
"Piranga","olivacea","Scarlet Tanager",6080,"Piranga olivacea",0.277528010406445
"Piranga","rubra","Summer Tanager",6100,"Piranga rubra",0.141181741504608
"Poecile","carolinensis","Carolina Chickadee",7360,"Poecile carolinensis",0.292285253238629
"Polioptila","caerulea","Blue-gray Gnatcatcher",7510,"Polioptila caerulea",0
"Quiscalus","quiscula","Common Grackle",5110,"Quiscalus quiscula",0.51835200693763
"Sayornis","phoebe","Eastern Phoebe",4560,"Sayornis phoebe",0.141181741504608
"Seiurus","aurocapilla","Ovenbird",6740,"Seiurus aurocapilla",0.40843137199002
"Setophaga","americana","Northern Parula",6480,"Setophaga americana",0.40843137199002
"Setophaga","citrina","Hooded Warbler",6840,"Setophaga citrina",0
"Setophaga","discolor","Prairie Warbler",6730,"Setophaga discolor",0.277528010406445
"Setophaga","dominica","Yellow-throated Warbler",6630,"Setophaga dominica",0
"Setophaga","pinus","Pine Warbler",6710,"Setophaga pinus",0.40843137199002
"Sialia","sialis","Eastern Bluebird",7660,"Sialia sialis",0.265294995574121
"Sitta","carolinensis","White-breasted Nuthatch",7270,"Sitta carolinensis",0.301029995663981
"Sitta","pusilla","Brown-headed Nuthatch",7290,"Sitta pusilla",0.292285253238629
"Spinus","tristis","American Goldfinch",5290,"Spinus tristis",0.472903250637018
"Spizella","passerina","Chipping Sparrow",5600,"Spizella passerina",0.292285253238629
"Spizella","pusilla","Field Sparrow",5630,"Spizella pusilla",0.292285253238629
"Sturnella","magna","Eastern Meadowlark",5010,"Sturnella magna",0.348225372857224
"Sturnus","vulgaris","European Starling",4930,"Sturnus vulgaris",0.736451625318509
"Thryothorus","ludovicianus","Carolina Wren",7180,"Thryothorus ludovicianus",0.472903250637018
"Toxostoma","rufum","Brown Thrasher",7050,"Toxostoma rufum",0.447172622283296
"Turdus","migratorius","American Robin",7610,"Turdus migratorius",0.301029995663981
"Tyrannus","tyrannus","Eastern Kingbird",4440,"Tyrannus tyrannus",0.40843137199002
"Vireo","flavifrons","Yellow-throated Vireo",6280,"Vireo flavifrons",0.265294995574121
"Vireo","griseus","White-eyed Vireo",6310,"Vireo griseus",0.348225372857224
"Vireo","olivaceus","Red-eyed Vireo",6240,"Vireo olivaceus",0.412697251504221
"Zenaida","macroura","Mourning Dove",3160,"Zenaida macroura",0.141181741504608
